Date,Rating,Review Title,Topic/Job Role,Good Points,Bad Points,Location,Good Points (Translated),Bad Points (Translated)
20. Jan. 2024,5.0,Work student business analyst,Work student business development,Flexible working hours and good salary,No Christmas money and extra money for essentials,Frankfurt am Main,Flexible Arbeitszeiten und gutes Gehalt,Kein Weihnachtsgeld und kein zusätzliches Geld für das Wesentliche
9. Feb. 2022,3.0,Room for improvement,Customer service specialist,"Family-like atmosphere, not too much pressure on the job","Lack of ambition and lack of means to do better, almost no perks compared to LVMH France",Frankfurt am Main,"Familiäre Atmosphäre, nicht zu viel Druck bei der Arbeit","Mangel an Ehrgeiz und fehlende Mittel für bessere Leistungen, kaum Vorteile im Vergleich zu LVMH Frankreich"
12 Feb. 2020,4.0,gut,Beauty Consultant,,,Frankfurt am Main,Gesamt Bewertung Eindruck bei Benefit LVMH war gut. Work-Life Balance: Gut.,Kollengenzusammenhalt: Mangelhaft.
11 Sept. 2024,5.0,Payroll Manager,Payroll Manager,,,Paris,"Participation, salary reductions, group product discounts",Lack of cohesion with other group companies
31 Aug. 2024,5.0,Top,CDP,,,Paris,Everything and a very good works council,Nothing else other than the coffee
22 Aug. 2024,4.0,Feedback Internship,Stage Data Analyst,,,Paris,"Environment and interesting topics, international scope","High workload, salary"
30 July 2024,5.0,Best Experience,Data Engineer Intern,,,Neuilly-sur-Seine,"The manager is attentive, the atmosphere is pleasant, and there are many benefits.","For me, I see no drawbacks."
2 July 2024,4.0,Experience at LVMH,Supply Chain Engineer,,,Clichy,"Prestige, renown, easy to find a job afterwards","Low salary, external factors"
5 June 2024,4.0,Interesting Work,Customer Care Specialist,,,Paris,"Interesting work, bonuses, social advantages","No pressure, no work overload"
13 May 2024,5.0,Good Company,Operations,,,Levallois-Perret,Very nice headquarters,Lots of turnover in services
9 Apr. 2024,5.0,Benevolence,Sales Coordinator,,,Levallois-Perret,"Bonuses, products, CE, vouchers, restaurant, remote work","Few shops around, few restaurant vouchers"
5 Apr. 2024,1.0,Bad Experience,Executive Assistant,,,Paris,Discounts on LVMH products,"Uninteresting job as the director spends his life at the doctor’s office, rude and disrespectful."
24 Mar. 2024,5.0,Salary,Product Manager,,,Paris,"Performance bonus, staff canteen/store",I see no drawbacks.
11 Apr. 2024,1.0,Bien,Logistique,,,Paris,"Gutes Gehalt, gute Karriereentwicklung, zuhören","Überlastete Teams, kein Gleichgewicht, schlechtes Zuhören."
7 Feb. 2024,5.0,"Excellence, exigence & expériences",Chargé de communication,,,Paris,"Eine sehr gute Berufsschule, anspruchsvoll, die schöne Erfahrungen und Fähigkeiten vermittelt.",Der erwartete Exzellenzgrad bringt Druck mit sich.
28 Nov. 2023,1.0,comment être rapetissé ?,Directeur commercial,,,Paris,"Marken und Namen, die Menschen träumen lassen","Ein Unternehmen, das Fähigkeiten verkleinert, starr ist, und das obere Management ist nicht vertrauenswürdig."
16 Feb. 2024,4.0,très bien,Communication - social media manager,,,Paris,"Etwas niedrige Gehälter, akzeptable Arbeitszeiten, insgesamt positiv.",Kein Bonus in meinem Team.
22 Jan. 2024,4.0,Conseiller de vente,Conseiller de vente,,,Paris,"Essensgutscheine, 13. Monatsgehalt, Frühzeitige Bonus","Herausforderungen, Eifersucht, scheinheiliges Management."
12 Dec. 2023,5.0,Belle entreprise,Mitarbeiter (anonym),,,Paris,"Gehalt, Boni, Werksverkäufe, gutes Arbeitsklima",Manchmal hohe Arbeitsbelastung.
30 Oct. 2023,5.0,Bonne expérience,Chargé de formation,,,Levallois-Perret,"Benevolentes Management, häufig neue Projekte, Weiterentwicklungsmöglichkeiten","Gehalt weniger wettbewerbsfähig als ähnliche Unternehmen, lange Arbeitszeiten."
11 Dec. 2023,2.0,Bon entreprise,Chargé de projets,,,Paris,Vorteile wie in der gesamten Branche,Inkonvenienzen wie Arbeitsbelastung.
2 Nov. 2023,5.0,Très formateur,E-commerce analyst,,,Paris,"Faszinierendes Umfeld, gute Möglichkeiten, Fokus auf die Zukunft.",Externe Faktoren und viel Druck von den anderen Abteilungen.
21 Nov. 2023,5.0,Superbe expérience,Assistante RP et communication,,,Levallois-Perret,"Ein schönes Team, wohlwollende Atmosphäre",Viele Validierungsprozesse.
10 Nov. 2023,2.0,Mauvaise rémunération,Business Analyst,,,Paris,"Gute betriebliche Altersversorgung, Mitarbeiterrabatte.",Niedriges Gehalt im Vergleich zur Arbeitsbelastung.
24 Oct. 2023,5.0,Super expérience !,Chef de projet digital,,,Paris,"Gehalt, Management, Homeoffice, Umgang mit Mitarbeitern.",Hohe Arbeitsbelastung von Zeit zu Zeit.
10 Sept. 2023,4.0,LVMH review,Commercial Trainer,,,Paris,"Gemischtes und internationales Umfeld, viele bereichsübergreifende Chancen.","Hierarchisch, etwas verschlossen, geringere Gehälter intern."
15 Aug. 2023,5.0,Expérience professionnelle,Chef de secteur,,,Paris,"Sehr gutes Arbeitsklima, alle Tools vorhanden, hohe Qualität.",Ich sehe keine Nachteile bei der Arbeit bei LVMH.
14 Aug. 2023,5.0,top expérience,Mitarbeiter (anonym),,,Paris,"Tolle Erfahrung, man lernt sehr viel!",Es gibt nichts hinzuzufügen.
9 July 2023,5.0,Data ingénieur,Data Ingenieur,,,Paris,"Gute Boni, Gehalt, gute betriebliche Altersversorgung.","Wenige Nachteile, gutes Unternehmen."
17 June 2023,5.0,Top,Mitarbeiter (anonym),,,Paris,Klassische Vorteile in Frankreich und eine gute Mitarbeiterbeteiligung.,"Komplexe Organisation, man muss sich gut zurechtfinden."
5 June 2023,4.0,Une entreprise à mission,Manager,,,Paris,Professionalismus und Kultur der Exzellenz.,Hohe Arbeitsbelastung.
1 May 2023,4.0,Expérience positive,Assistant Project Manager,,,Paris,"Prämien und Unternehmensanteile, Erfahrung in internationalen Projekten.","Hohe Arbeitsbelastung, man sollte keine Stunden zählen."
21 May 2023,4.0,Sympa mais trop gros,Chef de Projet,,,Paris,"Gute Budgets, Möglichkeit, schöne Dinge zu tun.","Schwer, sich intern zu bewegen."
21 May 2023,5.0,Super expérience,Assistant de Direction Qualité,,,Paris,Tolle Teams und gute Verantwortung!,Ich habe keine speziellen Nachteile gesehen.
25 May 2023,3.0,Entreprise,Mitarbeiter (anonym),,,Paris,"Unternehmen, das uns hilft, unsere Fähigkeiten zu entwickeln.","Keine Nachteile, alles ist super."
29 Apr. 2023,4.0,bien,Stagiaire Gestion,,,Paris,Unternehmen mit sehr hohem Standard.,"Schwer, ein Praktikum zu bekommen."
21 Mar. 2023,5.0,Bien,Chef de Projet,,,Paris,Sehr angenehmes und freundliches Umfeld.,Ich habe nichts Negatives zu sagen.
10 Mar. 2023,5.0,Expérience très positive,Assistant Communication,,,Paris,"Gute Atmosphäre, Kantine, spannende Aufgaben, kein Druck.",Bis jetzt keine Nachteile!
6 Jan. 2023,3.0,OK,Export Area Manager,,,Levallois-Perret,"Große Gruppe, Produktqualität.","Starke Abhängigkeit von China, zu gewinnorientiert, HR-Bereich nicht sehr gut."
28 Jan. 2023,3.0,Normal,Customer Service,,,Paris,"Viele private Verkäufe, Vorteile durch CSE.","Führungsprobleme, keine Flexibilität für Mitarbeiter."
21 Oct. 2022,4.0,plutôt satisfaite,Mitarbeiter (anonym),,,Asnières-sur-Seine,"Jahresprämien, Entwicklungsmöglichkeiten, vorteilhafte CSE.","Organisation in allen Bereichen verbessern, Einstellung basiert zu sehr auf Tests."
2 Jan. 2023,3.0,LVMH FB,Chef de Produits,,,Levallois-Perret,"Wohlwollen, freundliches Umfeld, Homeoffice.","Begrenzte Vorteile, sehr hierarchisch."
3 Dec. 2022,2.0,Exploitation,CRM Intern,,,Paris,Marktfähiges Gehalt für ein Praktikum.,"Unbezahlte Überstunden, keine Menschlichkeit."
8 Nov. 2022,4.0,Salaire a l'entrée,Acheteur,,,Paris,"Guter Teamgeist, Management.","Gehalt hat sich nicht ausreichend entwickelt, muss geändert werden."
5 Dec. 2022,5.0,GOOD,Chef de Projet Digital,,,Levallois-Perret,"Private Verkäufe, gutes Arbeitsklima, Verantwortung.","Wenig Anerkennung, lange Arbeitszeiten."
26 Nov. 2022,5.0,Bien,Project Manager,,,Paris,Zugang zu privaten Verkäufen der Unternehmen.,Ich sehe keine Nachteile für meinen Job.
9 Oct. 2022,4.0,Plutôt positif,Responsable Achats,,,Paris,Großes Unternehmen mit guten Entwicklungsmöglichkeiten.,"Sehr leistungsstarkes Unternehmen, Gehalt nicht angepasst."
24 Oct. 2022,5.0,Une entreprise qui donne confiance,Stagiaire Marketing,,,Paris,"Ich bekam viel Vertrauen, viele Aufgabenbereiche.",Schwer zu entziffernde Unternehmenskultur.
12 Oct. 2022,2.0,Sans intérêt,Sales Associate,,,Paris,"Jobsicherheit, große Gruppe.","Feindliches Umfeld, kein Feedback, keine Anerkennung."
6 Oct. 2022,4.0,Très bien,Global Product Manager,,,Paris,"Starkes Netzwerk, Wissen und Fähigkeiten entwickeln.","Begrenzte Aufstiegsmöglichkeiten, soziale Richtlinien."
25 Sept. 2022,5.0,Assistant Chef de Produit,Stagiaire Chef de Produit,,,Paris,"Navigo-Pass, Rabatte, kostenlose Proben.",Ich habe im Moment nichts zu sagen.
16 Sept. 2022,5.0,Contrat en alternance,Praktikant (anonym),,,Paris,"Beteiligung am Unternehmensgewinn, gute Vorteile.",Langer Einstellungsprozess.
21 Aug. 2022,4.0,cool,Travel Retail Manager,,,Levallois-Perret,"Junges und dynamisches Unternehmen, Gewinnbeteiligung.","Behandeln Sie wie ein Kind, keine Meinungsfreiheit."
12 May 2022,3.0,Environnement complexe et unique,Praktikant (anonym),,,Neuilly-sur-Seine,"Einzigartige Umgebung (Luxuswelt), komplexe Aufgaben.","Schlecht bezahlt, wenig Entwicklungsmöglichkeiten."
25 July 2022,5.0,Super,BPM Architect,,,Paris,"Unglaubliches Unternehmen, tolles Arbeitsklima.","Alles ist perfekt, ich empfehle es."
18 July 2022,4.0,Positif,Responsable Presse et Communication,,,Paris,"Betriebsrat, Prämien, private Verkäufe, Homeoffice.",Wenig Beweglichkeit zwischen den Unternehmen.
28 June 2022,5.0,great,Stagiaire Stock,,,Paris,"Super Gelegenheit, die Luxusbranche kennenzulernen.","Ungewöhnliche Arbeitszeiten, gehört aber zum Job."
11 June 2022,5.0,Bonne entreprise,Affaires Réglementaires,,,Paris,"Zugang zu Unternehmensshops, Sportcenter, Restaurant.","Nichts zu bemängeln, alles ist perfekt."
30 May 2022,5.0,super job,Data Manager,,,Paris,"Gutes Arbeitsklima, Zugang zu privaten Verkäufen.","Keine Nachteile, ich bin sehr zufrieden."
18 May 2022,5.0,génial,Assistant Brand Management,,,Paris,"Prämien, Team, CE, Gehalt, Produkte.","Arbeitszeiten, aber man bekommt nichts umsonst."
23 Apr. 2022,5.0,Excellent,Chef de projet retail expérience,,,Paris,"Tolles Team bei den Fragrance Brands, gutes Management, sehr lehrreich!","Keine Essensgutscheine, aber Zugang zur Firmenkantine."
3 Apr. 2022,5.0,Une expérience inoubliable,Consultant junior,,,Paris,"Ein zuhörendes Team, sehr bereichernde Erfahrung, viele neue Kontakte.",Nichts Besonderes zu melden.
25 Mar. 2022,2.0,Général,Project manager,,,Paris,"Beteiligung, interessante Projekte, Budget ist gut ausgerichtet.","Keine schnelle Entwicklung, wenig Wertschätzung."
11 Mar. 2022,4.0,sécurité,Key Account Manager (KAM),,,Levallois-Perret,"Mitarbeiterverkäufe, Sicherheit, Schulung, gutes Image.","Politisch geprägtes Unternehmen, trotz Wohlwollen der HR."
9 Mar. 2022,5.0,Super entreprise,Manager,,,Paris,"Top, top, top! Ausgezeichnetes Unternehmen.","Keine Nachteile, alles perfekt!"
14 Mar. 2022,4.0,Assistante community manager corporate,Assistant community manager,,,Paris,"Prämien, gutes Team, kein Druck, Entwicklungsmöglichkeiten.","Starke Hierarchie, Konkurrenz, intensiver Arbeitsaufwand."
6 Mar. 2022,5.0,Excellent,Équipier polyvalent,,,Paris,"Gehalt, Boni, Urlaub, Luxus, Standort.",Kommunikationsprobleme zwischen Führung und Mitarbeitern.
17 Feb. 2022,4.0,Très formateur,Assistante juridique,,,Paris,"Mitarbeiterbeteiligung, 13. Gehalt, Rabatte auf Produkte.","Hohe Arbeitsbelastung, aber sehr lehrreich."
19 Feb. 2022,4.0,Belle entreprise,Directeur adjoint communication,,,Paris,"Freie Entscheidungsfreiheit, viele neue Projekte, gutes Umfeld.","Schwierige HR-Prozesse, Aufstiegsmöglichkeiten begrenzt."
30 Jan. 2022,5.0,Très bon groupe,Chef de groupe marketing,,,Paris,"Entwicklungsmöglichkeiten, Verantwortung, viele Marken.","Sehr hierarchisch, komplizierte Mobilitätsprozesse."
19 Jan. 2022,4.0,Avis sur le salaire,Chef de groupe marketing,,,Paris,"Sicherheit, Aufstieg innerhalb des Konzerns.","Niedriges Gehalt, schwierige interne Mobilität."
21 Jan. 2022,4.0,Excellente,Directeur de projet,,,Paris,"Viele Ziele, je nach Bedarf.",Verfügbarkeit ist ein Hauptkriterium.
18 Jan. 2022,1.0,Ok,Gérant,,,Paris,"Bezahlung, Rekrutierung, Rückerstattung, Ressourcen, Reichtum.","Gehalt, Rekrutierung, Rückerstattung, Reichtum (wiederholt)."
23 Feb. 2019,3.0,Une très belle étiquette,Chargé de projet formation,,,Paris,"Mobilität innerhalb des Konzerns nach 3 Jahren, Schulung für neue Manager.","Hängt von der Abteilung ab, die Mobilität variiert."
13 July 2015,3.0,Une expérience unique et dynamique,SAP Manager,,,Neuilly-sur-Seine,"Abwechslungsreiche Aufgaben und Projekte, unternehmerisches Denken.","Mangel an Zeit, um alles richtig zu formalisieren."
10 Dec. 2021,2.0,Une société dont la priorité est le profit,Area Manager,,,Levallois-Perret,"Gehalt, Investitionswille, ehrgeizige Vision.","Wenig Agilität, stark hierarchische Prozesse."
3 Sept. 2020,5.0,"Très bon, cependant...",Mitarbeiter (anonym),,,Paris,"150 k/Jahr, 48 Essensgutscheine/Tag, freies BMW-Nutzungsrecht.","Befehle sind nicht ethisch korrekt, hoher Druck."
22 May 2020,5.0,Évaluation Le Bon Marché,Technicien d'exploitation informatique,,,Paris,"Filiale von LVMH, dynamisches Arbeitsumfeld.",Keine Nachteile bisher.
9 Apr. 2020,3.0,Avis,Responsable Ressources Humaines,,,Paris,"Groß wachsendes Unternehmen, positives Image.","Schwache Führungsfähigkeiten, fehlende Kohärenz."
28 Oct. 2019,3.0,Bonne entreprise avec des perspectives intéressantes,Mitarbeiter (anonym),,,Paris,"Zugang zu Verkäufen, gute Zusatzleistungen.","Luxusbranche ist besonders, viele Überstunden."
23. Juni 2021,1.0,A fuir!,Chargée de clientèle,Il n'y a aucun avantage,"C'est très vicieux, rien ne va au sein de l'entreprise. Tout le monde est en arrêt maladie, un turn-over élevé.",Neuilly-sur-Seine,Es gibt keinen Vorteil.,"Es ist sehr bösartig, nichts läuft innerhalb des Unternehmens gut. Jeder ist krankgeschrieben, eine hohe Fluktuation."
23. Feb. 2018,4.0,avis sur l’expérience dans le groupe,Chef de projet,L’avantage du travail dans le secteur de luxe et de profiter de la mobilité dans le groupe.,"À travers mon expérience, je n’ai pas vécu de mauvaises situations dans le groupe.",Paris,"Der Vorteil der Arbeit im Luxusbereich und die Möglichkeit, innerhalb der Gruppe mobil zu sein.",In meiner Erfahrung habe ich keine schlechten Situationen innerhalb der Gruppe erlebt.
18. Sept. 2019,4.0,Bon employeur,Chef de produits,"Bonne rémunération, beaux produits sur lesquels travailler, prime d'intéressement.","L’ambiance de travail peut être compliquée, tout dépend de l’équipe dans laquelle on tombe.",Paris,"Gute Bezahlung, schöne Produkte, an denen man arbeiten kann, Bonuszahlung.","Die Arbeitsatmosphäre kann kompliziert sein, es hängt von dem Team ab, in dem man landet."
1. März 2021,5.0,"Parfait entreprise, facile à s’intégrer",Contrôleur de gestion,"Multidisciplinaire, multitâche, et surtout une bonne ambiance.",Trop de stress et peu de nouvelles tâches.,Paris,"Multidisziplinär, vielseitig und vor allem eine gute Arbeitsatmosphäre.",Zu viel Stress und wenige neue Aufgaben.
1. Feb. 2021,3.0,Incoherence objectifs vs moyen(s),Responsable domaine SI,"Ventes privées, CE, Mutuelle excellente.",Manque de personnel dans des proportions malsaines.,Paris,"Private Verkäufe, Mitarbeitervergünstigungen, ausgezeichnete Krankenversicherung.",Personalmangel in ungesunden Ausmaßen.
18. Sept. 2018,5.0,Excellent,Chef de produits,"Ticket resto, déplacement remboursé et mutuelle.","Distance, entre la maison et le travail assez longue donc compliqué.",Paris,"Essensgutscheine, Rückerstattung der Fahrtkosten und Krankenversicherung.","Lange Strecke zwischen Zuhause und Arbeit, was die Situation kompliziert macht."
2. Jan. 2018,4.0,Top,Cadre,"Puissance du groupe, diversité des métiers, attractivité des produits.","manque de synergies entre les différents metiers (partage experiences, mobilités intra-groupe).",Paris,"Starke Unternehmensgruppe, Vielfalt an Tätigkeiten, Attraktivität der Produkte.","Mangel an Synergien zwischen den verschiedenen Tätigkeiten (Erfahrungsaustausch, Mobilität innerhalb der Gruppe)."
6. Nov. 2021,3.0,Plutôt recommander,Vendeuse,"Vente privée, Les formations complètes, communication entre les services et les équipes.","évolution, argumentation de salaire.",Paris,"Private Verkäufe, umfassende Schulungen, Kommunikation zwischen Abteilungen und Teams.",Karrieremöglichkeiten und Gehaltsverhandlungen.
10. Apr. 2021,5.0,Super organisation,CDI,"Organisation est bien claire, les ventes privées intéressantes.",Les codes du travail sont très subtiles donc c’est pas très évident pour les étrangers.,Paris,"Gut organisierte Struktur, interessante private Verkäufe.","Die Arbeitsgesetze sind sehr subtil, was es für Ausländer schwierig macht."
21. Aug. 2020,4.0,Positif,Responsable logistique et stocks,groupe leader et innovant dans son secteur d’activité.,Sentiment d’appartenance très variable selon les entreprises du Groupe.,Paris,Führendes und innovatives Unternehmen in seiner Branche.,Das Zugehörigkeitsgefühl variiert stark je nach Unternehmen innerhalb der Gruppe.
10. Apr. 2021,5.0,Super organisation,CDI,"Organisation est bien claire, les ventes privées intéressantes.",Les codes du travail sont très subtiles donc c’est pas très évident pour les étrangers.,Paris,"Gut organisierte Struktur, interessante private Verkäufe.","Die Arbeitsgesetze sind sehr subtil, was es für Ausländer schwierig macht."
21. Aug. 2020,4.0,Positif,Responsable logistique et stocks,groupe leader et innovant dans son secteur d’activité.,Sentiment d’appartenance très variable selon les entreprises du Groupe.,Paris,Führendes und innovatives Unternehmen in seiner Branche.,Das Zugehörigkeitsgefühl variiert stark je nach Unternehmen innerhalb der Gruppe.
14. Okt. 2021,4.0,Expérience très satisfaisante,Pricing/business analyst,Environnement bienveillant et stimulant à la fois. Vie d’entreprise.,le Salaire est vachement en dessous de la moyenne de mon école.,Paris,"Wohlwollendes und anregendes Arbeitsumfeld, Unternehmensgeist.",Das Gehalt liegt deutlich unter dem Durchschnitt meiner Hochschule.
1. Sept. 2016,4.0,bonne école,Chef de produits,équipe jeune et dynamique bon équilibre vie privée/vie pro forte autonomie du chef de produit,petite marque peu de perspectives d’évolution manque de moyens,Paris,"Junges und dynamisches Team, gute Work-Life-Balance, hohe Autonomie für Produktmanager.","Kleine Marke, wenige Aufstiegsmöglichkeiten, Mangel an Ressourcen."
23. Feb. 2020,4.0,Correct,Acheteur,Secteur - cadre de travail - moyens alloués aux projets,Rémunération - inertie - lenteur à prendre le tournant développement durable,Paris,"Arbeitsbereich, Arbeitsumfeld, für Projekte bereitgestellte Mittel.","Gehalt, Trägheit bei der Umsetzung nachhaltiger Entwicklung."
6. Mai 2021,4.0,Bonne expérience,Assistant comptable,"salaire - prime (13e mois, intéressement, participation, chèques vacances, ...) - cadre de travail -am",pression et charge de travail parfois trop intense,Paris,"Gutes Gehalt, Bonuszahlungen, angenehmes Arbeitsumfeld.",Arbeitsdruck und Arbeitsbelastung manchmal zu hoch.
2. Juli 2019,5.0,Je comprends pas ce que vous voulez,Stagiaire,C’est sympa on travaille bien,Le salaire est très bas pas cool,Paris,"Es macht Spaß zu arbeiten, gutes Arbeitsklima.","Gehalt ist sehr niedrig, nicht cool."
4. Juli 2019,4.0,Très bonne école,Junior project manager,Responsabilité Apprentissage Reconnaissance du groupe Évolution en interne ou vers les fournisseurs,Très hiérarchisé Réparation vie privée/vie professionnelle,Paris,"Verantwortlichkeit, Schulungen, Anerkennung durch die Gruppe, Entwicklung intern oder bei Zulieferern.","Sehr hierarchisch, Trennung von Privat- und Berufsleben."
26. Feb. 2021,3.0,Pas d’accès aux ventes privées,Digital assistant,Titre de transport et tickets restaurants,"pas d’accès aux ventes au personnel, meme en temps que stagiaire de 6 mois",Paris,Fahrkartenerstattung und Essensgutscheine.,"Kein Zugang zu Mitarbeiterverkäufen, selbst nicht während eines 6-monatigen Praktikums."
10. Feb. 2021,4.0,Bien,Architect retail designer,Comme avantages: sécurité et les CP,je dois dire la hierarchie et les salaires. Mais je trouve qu’il a beaucoup bises avantages!,Paris,Sicherheit und Urlaubstage.,Ich muss die Hierarchie und die Gehälter ansprechen. Aber es gibt viele Vorteile.
5. Jan. 2021,4.0,Beaucoup d’avantages,Collaboratrice comptable,"beaucoup de travail dans une bonne ambiance, carte titre restaurant","pas de cantine, quartier cher donc difficile d’acheter à manger",Paris,"Viel Arbeit in angenehmer Atmosphäre, Restaurantgutscheine.","Keine Kantine, teures Viertel, daher schwierig, sich etwas zu essen zu kaufen."
21. Dez. 2015,5.0,Avis très favorable,Project and content manager,Etre au cœur de l’écosystème de plus de 70 entreprises.,Le processus de validation est assez long,Paris,Im Herzen des Ökosystems von über 70 Unternehmen.,Der Validierungsprozess ist ziemlich lang.
