,Paragraph,Frequency,Diversity Equity and Inclusion,Attracting the right talent,Employee Listening,Building role-model leadership,Health Management,Work-life integration,Mindset of continuous learning,Recognizing both individual and team performance
115,Zweck & Gesamtrelevanz für die Organisation:,62,False,False,False,False,False,False,False,False
148,Benötigte Ausbildung und Erfahrung / Mindestanforderung:,61,False,False,False,False,False,False,False,False
119,Verantwortlichkeiten:,60,False,False,False,False,False,False,False,False
142,Vorwiegende Kontakte:,54,False,False,False,False,False,False,False,False
152,"Grundlegende Rechtschreib- und Rechenkenntnisse, Kommunikationsfähigkeit",51,False,False,False,False,False,False,False,False
143,Kunden,48,False,False,False,False,False,False,False,False
140,Befugnisse:,47,False,False,False,False,False,False,False,False
990,Kollegen und Vorgesetzte,41,False,False,False,False,False,False,False,False
1665,"Belastbarkeit, Flexibilität, Teamfähigkeit",41,False,False,False,False,False,False,False,True
1653,Unterstützt in der Durchführung unserer Store Abläufe (Lager & Fläche) und führt die zugeteilten Tätigkeiten gewissenhaft durch,41,False,False,False,False,False,False,False,False
1664,Gute bis sehr gute Deutschkenntnisse,41,False,False,False,False,False,False,False,False
1661,"Falls zutreffend: Unterstützung bei unseren Omnichannel Tools: Ship from Store, Endless Aisle, Click & Collect",36,False,False,False,False,False,False,False,False
74,g,29,False,False,False,False,False,False,False,False
122,"Baut zu jedem Kunden eine emotionale Bindung auf, indem er/sie als leidenschaftlicher und enthusiastischer Botschafter der Marke auftritt",28,False,False,False,False,False,False,False,False
123,Lässt in seinem/ihrem Store-Bereich aktiv Basiswissen und Fakten über Saisonprodukte in den Serviceansatz einfließen,28,False,False,False,False,False,False,False,False
892,WIR BIETEN:,28,False,False,False,False,False,False,False,False
891,Willst du Teil dieser Reise sein? Dann komm jetzt zu uns,27,False,False,False,False,False,False,False,False
889,"Wir führen einen aktiven Lebensstil, schaffen Innovationen um Sport und Natur in Einklang zu bringen, betrachten die Welt ohne Grenzen und Vorurteile und inspirieren unsere Kunden zu Veränderungen",27,True,False,False,False,False,False,False,False
814,),27,False,False,False,False,False,False,False,False
124,"Erhält ein ansprechendes, angenehmes Umfeld aufrecht, in dem die Kunden gerne einkaufen und achtet dabei auf Visual Merchandising sowie Ordnung und Sauberkeit",27,False,False,False,False,False,False,False,False
907,WIR SCHÄTZEN AN UNSEREN MITARBEITERN:,27,False,False,False,False,False,False,False,False
922,#WePowerPossible,27,False,False,False,False,False,False,False,False
918,DEINE AUFGABEN:,27,False,False,False,False,False,False,False,False
885,"Hallo, dies ist der erste Schritt auf deiner Reise bei adidas",27,False,False,False,False,False,False,False,False
886,Seit mehr als 70 Jahren entwickeln wir die beste Sportausrüstung und inspirieren Millionen von Menschen dabei ihr Leben durch Sport zu verändern,27,False,False,False,False,False,False,False,False
887,Für uns stehen die Mitarbeiter an erster Stelle,27,False,False,True,False,False,False,False,False
888,adidas ist ein Team von rebellischen Optimisten,27,False,False,True,False,False,False,False,True
404,Key Responsibilities:,26,False,False,False,False,False,False,False,False
901,MITARBEITER SCHÄTZEN AN UNS:,25,False,False,False,False,False,False,False,True
2161,Übernahme von Kassentätigkeiten (ohne Kassenabschluss),24,False,False,False,False,False,False,False,False
418,Key Relationships:,24,False,False,False,False,False,False,False,False
2154,Kennt die Store-Ziele und unterstützt aktiv dabei diese zu erreichenKennt die Store-Ziele und unterstützt aktiv dabei diese zu erreichen,24,False,False,False,False,False,False,False,False
2155,Kennt die Store-Ziele und unterstützt aktiv dabei diese zu erreichen,24,False,False,False,False,False,False,False,False
2158,Ordnungsgemäße Einlagerung der Ware mit Preisauszeichnung und Lagerpflege,24,False,False,False,False,False,False,False,False
897,Mitarbeiterbeteiligungsprogramm (Aktien),23,False,True,False,False,False,False,False,False
896,Essen- und Fahrtkostenzuschuss,23,False,False,False,False,False,False,False,False
895,Versicherungsangebote,23,False,False,True,False,True,False,False,False
898,Pensionsplan und Frührentenfinanzierung,23,False,False,False,False,False,True,False,False
890,Unsere Einezlhandelgeschäfte sind der erste Kontakt mit unseren Kunden und das Herz der Marke adidas,23,False,False,False,False,False,False,False,False
894,Mitarbeiterkleidung,23,False,True,False,False,False,False,False,False
893,Mitarbeiterrabatt bis zu 44%,23,False,True,False,False,False,False,False,False
2156,"Warenaufbereitung (Auspacken, Sichern, Etikettieren, Aufbügeln)",22,False,False,False,False,False,False,False,False
2157,Überprüfung der Lieferungen auf Vollständigkeit entsprechend der Lieferscheine,22,False,False,False,False,False,False,False,False
1657,Bestückung/Auffüllen von Waren auf der Verkaufsfläche,22,False,False,False,False,False,False,False,False
2159,Aufbereitung und Bestückung/Auffüllen von Waren,22,False,False,False,False,False,False,False,False
2160,"Hält sich an die Regeln und Abläufe (House of Retail-Regelungen), die für den Store gelten und erhält eine sichere Einkaufs- und Arbeitsatmosphäre aufrecht",22,False,False,False,False,False,False,False,False
2162,Erfahrung im Verkauf (Einzelhandel) wünschenswert,22,False,False,False,False,False,False,False,False
141,NA,21,False,False,False,False,False,False,False,False